Time,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
6:00 AM,92,109,83,99,93,65,69
7:00 AM,134,149,154,132,159,87,72
8:00 AM,350,294,354,346,317,135,93
9:00 AM,604,669,533,486,605,248,107
10:00 AM,598,704,576,583,661,161,104
11:00 AM,551,557,501,565,496,177,109
12:00 PM,748,667,636,742,724,278,113
1:00 PM,706,631,606,603,596,219,168
2:00 PM,648,578,530,543,600,249,196
3:00 PM,651,498,545,558,616,226,157
4:00 PM,512,595,616,582,573,206,137
5:00 PM,440,526,492,397,509,269,121
6:00 PM,599,549,546,562,489,249,101
7:00 PM,410,391,469,450,339,218,107
8:00 PM,301,358,356,303,317,203,107
9:00 PM,213,274,292,232,152,210,116
10:00 PM,188,168,162,153,177,113,90
11:00 PM,169,183,144,156,103,90,101
12:00 AM,95,159,107,109,119,107,87
1:00 AM,79,113,99,103,93,73,69
2:00 AM,105,110,91,93,96,82,81
3:00 AM,82,112,114,95,98,65,65
4:00 AM,87,98,74,96,83,66,64
5:00 AM,76,107,95,84,84,67,62
